City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
praia da vitoria,38.7333,-27.0667,22.14,73,40,4.14,PT,2024-06-08 09:18:43
grytviken,-54.2811,-36.5092,-2.51,83,18,2.72,GS,2024-06-08 09:18:43
adamstown,-25.066,-130.1015,22.58,82,63,4.66,PN,2024-06-08 09:18:43
san felipe,10.3399,-68.7425,34.57,38,21,3.11,VE,2024-06-08 09:18:43
lander,42.833,-108.7307,20.62,52,0,2.57,US,2024-06-08 09:18:43
puerto natales,-51.7236,-72.4875,2.25,100,75,1.03,CL,2024-06-08 09:18:44
ribadesella,43.4614,-5.0596,17.75,91,99,1.61,ES,2024-06-08 09:18:44
wynyard,-41.0,145.7167,11.61,94,100,3.58,AU,2024-06-08 09:18:44
port-aux-francais,-49.35,70.2167,6.04,97,100,14.79,TF,2024-06-08 09:18:44
naryn,41.4287,75.9911,11.88,38,26,3.5,KG,2024-06-08 09:18:44
tazovsky,67.4667,78.7,5.63,82,0,4.35,RU,2024-06-08 09:18:44
nadym,65.5333,72.5167,13.87,53,34,4.74,RU,2024-06-08 09:18:45
hamilton,39.1834,-84.5333,23.02,63,0,3.09,US,2024-06-08 09:18:45
waitangi,-43.9535,-176.5597,6.57,92,5,1.79,NZ,2024-06-08 09:18:45
donggang,28.9365,114.2259,21.33,94,100,0.72,CN,2024-06-08 09:18:45
ayr,55.4627,-4.6339,15.17,66,20,10.29,GB,2024-06-08 09:18:45
tiksi,71.6872,128.8694,-0.15,91,66,3.45,RU,2024-06-08 09:18:45
longyearbyen,78.2186,15.6401,3.91,75,40,1.54,SJ,2024-06-08 09:18:46
la passe,45.5549,-0.8967,21.66,85,100,5.2,FR,2024-06-08 09:18:46
qaqortoq,60.7167,-46.0333,3.3,98,100,0.37,GL,2024-06-08 09:18:46
punta arenas,-53.15,-70.9167,3.06,75,0,1.54,CL,2024-06-08 09:18:46
stanley,54.868,-1.6985,15.84,45,20,7.72,GB,2024-06-08 09:18:46
ribeira grande,38.5167,-28.7,21.22,83,75,5.14,PT,2024-06-08 09:18:46
enewetak,11.3474,162.3373,28.26,81,11,6.74,MH,2024-06-08 09:18:47
ta`u,-14.2336,-169.5144,26.79,77,71,10.14,AS,2024-06-08 09:18:47
masterton,-40.9597,175.6575,6.17,93,49,2.13,NZ,2024-06-08 09:18:47
yellowknife,62.456,-114.3525,11.9,69,100,4.63,CA,2024-06-08 09:18:47
kapa'a,22.0752,-159.319,23.18,88,100,1.54,US,2024-06-08 09:18:47
ushuaia,-54.8,-68.3,2.81,70,20,7.2,AR,2024-06-08 09:18:48
invercargill,-46.4,168.35,6.12,97,83,0.89,NZ,2024-06-08 09:18:48
waingapu,-9.6567,120.2641,24.23,87,53,4.09,ID,2024-06-08 09:18:48
sigayevo,56.4216,53.7757,18.05,81,93,2.06,RU,2024-06-08 09:18:48
papatowai,-46.5619,169.4708,7.79,89,77,3.31,NZ,2024-06-08 09:18:48
guerrero negro,27.9769,-114.0611,18.67,74,84,6.36,MX,2024-06-08 09:18:49
hammerfest,70.6634,23.6821,10.25,66,0,5.14,NO,2024-06-08 09:18:49
den burg,53.0542,4.7972,13.85,92,100,5.14,NL,2024-06-08 09:18:49
port alfred,-33.5906,26.891,13.43,87,52,4.83,ZA,2024-06-08 09:18:49
badger,64.8,-147.5333,20.14,41,0,5.66,US,2024-06-08 09:18:49
udachny,66.4167,112.4,13.58,80,98,3.15,RU,2024-06-08 09:18:49
joroinen,62.1782,27.8317,12.21,46,98,3.81,FI,2024-06-08 09:18:50
mugia,43.1041,-9.2179,15.51,82,99,10.84,ES,2024-06-08 09:18:50
blackmans bay,-43.0167,147.3167,8.18,90,100,4.41,AU,2024-06-08 09:18:50
vuktyl,63.8567,57.3094,18.39,35,64,2.24,RU,2024-06-08 09:18:50
suntar,62.1444,117.6319,8.97,85,3,2.85,RU,2024-06-08 09:18:50
kuruman,-27.4524,23.4325,12.22,38,0,3.48,ZA,2024-06-08 09:18:50
pangody,65.85,74.4859,8.43,77,0,4.73,RU,2024-06-08 09:18:51
northam,51.0333,-4.2167,16.33,74,16,5.05,GB,2024-06-08 09:18:51
gao,16.6362,1.637,42.84,14,4,2.62,ML,2024-06-08 09:18:51
carnarvon,-24.8667,113.6333,22.92,72,3,7.53,AU,2024-06-08 09:18:51
cabedelo,-6.9811,-34.8339,30.37,79,51,5.83,BR,2024-06-08 09:18:51
vorgashor,67.5833,63.95,-1.22,93,100,3.68,RU,2024-06-08 09:18:51
hawaiian paradise park,19.5933,-154.9731,21.13,93,0,2.57,US,2024-06-08 09:18:52
whitehorse,60.7161,-135.0538,12.28,46,75,1.03,CA,2024-06-08 09:18:52
perevolotskiy,51.8763,54.1938,18.65,84,100,3.26,RU,2024-06-08 09:18:52
cambria,35.5641,-121.0808,14.41,79,63,1.67,US,2024-06-08 09:18:52
touros,-5.1989,-35.4608,27.76,82,56,5.59,BR,2024-06-08 09:18:52
shohimardon,39.9839,71.8028,23.43,51,48,0.58,UZ,2024-06-08 09:18:53
crane,31.3974,-102.3501,30.72,41,95,10.67,US,2024-06-08 09:18:53
chonchi,-42.6128,-73.8092,11.73,96,100,4.67,CL,2024-06-08 09:18:53
samarinda,-0.5,117.15,23.74,98,36,0.79,ID,2024-06-08 09:18:53
vilyuchinsk,52.9306,158.4028,11.15,71,99,3.92,RU,2024-06-08 09:18:53
keflavik,64.0049,-22.5624,8.95,70,75,6.69,IS,2024-06-08 09:18:53
la ronge,55.1001,-105.2842,8.14,66,100,4.63,CA,2024-06-08 09:18:53
mar del plata,-38.0023,-57.5575,15.61,91,100,8.94,AR,2024-06-08 09:14:12
labuan,5.2767,115.2417,26.2,94,40,0.0,MY,2024-06-08 09:18:54
